,class,wiki_intro
0,antelope,"An antelope is a member of a number of even-toed ungulate species indigenous to various regions in Africa and Eurasia. Antelopes comprise a wastebasket taxon (miscellaneous group) within the family Bovidae, encompassing those Old World species that are not cattle, sheep, buffalo, bison, or goats; even so, antelope are generally more deer-like than other bovids. A group of antelope is called a herd.

"
1,grizzly bear,"The grizzly bear (Ursus arctos ssp.) is a large population of the brown bear inhabiting North America. Scientists generally do not use the name grizzly bear but call it the North American brown bear.
Multiple morphological forms sometimes recognized as subspecies exist, including the mainland grizzly (Ursus arctos horribilis), Kodiak bear (U. a. middendorffi), peninsular grizzly (U. a. gyas), and the recently extinct California grizzly (U. a. californicus†) and Mexican grizzly bear (U. a. nelsoni†). On average bears near the coast tend to be larger while inland grizzlies tend to be smaller.
The Ussuri brown bear (U. a. lasiotus) inhabiting Russia, Northern China, Japan and Korea is sometimes referred to as the black grizzly, although it is a different subspecies from the bears in America."
2,killer whale,"The killer whale or orca (Orcinus orca) is a toothed whale belonging to the oceanic dolphin family, of which it is the largest member. Killer whales have a diverse diet, although individual populations often specialize in particular types of prey. Some feed exclusively on fish, while others hunt marine mammals such as seals and other species of dolphin. They have been known to attack baleen whale calves, and even adult whales. Killer whales are apex predators, as no animal preys on them.  A cosmopolitan species, they can be found in each of the world's oceans in a variety of marine environments, from Arctic and Antarctic regions to tropical seas, absent only from the Baltic and Black seas, and some areas of the Arctic Ocean.
Killer whales are highly social; some populations are composed of matrilineal family groups (pods) which are the most stable of any animal species. Their sophisticated hunting techniques and vocal behaviours, which are often specific to a particular group and passed across generations, have been described as manifestations of animal culture.
The International Union for Conservation of Nature assesses the orca's conservation status as data deficient because of the likelihood that two or more killer whale types are separate species. Some local populations are considered threatened or endangered due to prey depletion, habitat loss, pollution (by PCBs), capture for marine mammal parks, and conflicts with human fisheries. In late 2005, the southern resident killer whales, which swim in British Columbia and Washington state waters, were placed on the U.S. Endangered Species list.
Wild killer whales are not considered a threat to humans, but there have been cases of captive orcas killing or injuring their handlers at marine theme parks. Killer whales feature strongly in the mythologies of indigenous cultures, with their reputation ranging from being the souls of humans to merciless killers."
3,beaver,"The beaver (genus Castor) is a large, primarily nocturnal, semiaquatic rodent. Castor includes two extant species, the North American beaver (Castor canadensis) (native to North America) and Eurasian beaver (Castor fiber) (Eurasia). Beavers are known for building dams, canals, and lodges (homes). They are the second-largest rodent in the world (after the capybara). Their colonies create one or more dams to provide still, deep water to protect against predators, and to float food and building material. The North American beaver population was once more than 60 million, but as of 1988 was 6–12 million. This population decline is the result of extensive hunting for fur, for glands used as medicine and perfume, and because the beavers' harvesting of trees and flooding of waterways may interfere with other land uses.

"
4,dalmatian,"Dalmatia (; Croatian: Dalmacija [dǎlmaːtsija]; Italian: Dalmazia; see names in other languages) is one of the four historical regions of Croatia, alongside Croatia proper, Slavonia, and Istria.
Dalmatia is a narrow belt of the east shore of the Adriatic Sea, stretching from the island of Rab in the north to the Bay of Kotor in the south. The hinterland (Dalmatian Zagora) ranges in width from fifty kilometres in the north, to just a few kilometres in the south; it is mostly covered by the rugged Dinaric Mountains. Seventy-nine islands (and about 500 islets) run parallel to the coast, the largest (in Dalmatia) being Brač, Pag, and Hvar. The largest city is Split, followed by Zadar, Dubrovnik, and Šibenik.
The name of the region stems from an Illyrian tribe called the Dalmatae, who lived in the area in classical antiquity. Later it became a Roman province, and as result a Romance culture emerged, along with the now-extinct Dalmatian language, later largely replaced with related Venetian. With the arrival of Croats to the area in the 8th century, who occupied most of the hinterland, Croatian and Romance elements began to intermix in language and culture. During the Middle Ages, its cities were often conquered by, or switched allegiance to, the kingdoms of the region. The longest-lasting rule was the one of the Republic of Venice, which controlled most of Dalmatia between 1420 and 1797, with the exception of the small but stable Republic of Ragusa (1358–1808) in the south. Between 1815 and 1918, it was a province of the Austrian Empire known as the Kingdom of Dalmatia. After the Austro-Hungarian defeat in the First World War, Dalmatia was split between the Kingdom of Serbs, Croats, and Slovenes which controlled most of it, and the Kingdom of Italy which held several smaller parts, and after World War II, SFR Yugoslavia took complete control over the area."
5,persian cat,"The Persian cat (Persian: گربه ایرانی‎, translit. Gorbe Irâni) is a long-haired breed of cat characterized by its round face and short muzzle. It is also known as the ""Persian Longhair"" in the English-speaking countries. In the Middle East region they are widely known as ""Iranian cat"" and in Iran they are known as ""Shirazi cat"". The first documented ancestors of the Persian were imported into Italy from Iran (historically known as Persia) around 1620. The exact history of the Persian cat does seem to be a bit of a mystery but many of these long-haired cats were seen in hieroglyphics. The story has it that these long-haired cats were then imported into Europe as their popularity grew and breeding took place in Italy and France.
The Persian cat was first presented at the world's first organised cat show in 1871 in London, England, before making its way to the United States of America in the early 1900s. The Persian cat breeding standards have always called for a cat with a short face, but it's important to note that the Persian cat originally had a much longer nose than the flat-faced Persians of today. Hereditary polycystic kidney disease is prevalent in the breed, affecting almost half the population in some countries.In 2015 it was ranked as the 2nd most popular breed in the United States according to the Cat Fanciers' Association. The first is the Exotic breed."
6,horse,"The horse (Equus ferus caballus) is one of two extant subspecies of Equus ferus. It is an odd-toed ungulate mammal belonging to the taxonomic family Equidae. The horse has evolved over the past 45 to 55 million years from a small multi-toed creature, Eohippus, into the large, single-toed animal of today. Humans began domesticating horses around 4000 BC, and their domestication is believed to have been widespread by 3000 BC. Horses in the subspecies caballus are domesticated, although some domesticated populations live in the wild as feral horses. These feral populations are not true wild horses, as this term is used to describe horses that have never been domesticated, such as the endangered Przewalski's horse, a separate subspecies, and the only remaining true wild horse. There is an extensive, specialized vocabulary used to describe equine-related concepts, covering everything from anatomy to life stages, size, colors, markings, breeds, locomotion, and behavior.
Horses' anatomy enables them to make use of speed to escape predators and they have a well-developed sense of balance and a strong fight-or-flight response. Related to this need to flee from predators in the wild is an unusual trait: horses are able to sleep both standing up and lying down, with younger horses tending to sleep significantly more than adults. Female horses, called mares, carry their young for approximately 11 months, and a young horse, called a foal, can stand and run shortly following birth. Most domesticated horses begin training under saddle or in harness between the ages of two and four. They reach full adult development by age five, and have an average lifespan of between 25 and 30 years.
Horse breeds are loosely divided into three categories based on general temperament: spirited ""hot bloods"" with speed and endurance; ""cold bloods"", such as draft horses and some ponies, suitable for slow, heavy work; and ""warmbloods"", developed from crosses between hot bloods and cold bloods, often focusing on creating breeds for specific riding purposes, particularly in Europe. There are more than 300 breeds of horse in the world today, developed for many different uses.
Horses and humans interact in a wide variety of sport competitions and non-competitive recreational pursuits, as well as in working activities such as police work, agriculture, entertainment, and therapy. Horses were historically used in warfare, from which a wide variety of riding and driving techniques developed, using many different styles of equipment and methods of control. Many products are derived from horses, including meat, milk, hide, hair, bone, and pharmaceuticals extracted from the urine of pregnant mares. Humans provide domesticated horses with food, water and shelter, as well as attention from specialists such as veterinarians and farriers."
7,german shepherd,"The German Shepherd (German: Deutscher Schäferhund, German pronunciation: [ˈʃɛːfɐˌhʊnt]) is a breed of medium to large-sized working dog that originated in Germany. In the English language, the breed's officially recognized name is German Shepherd Dog (sometimes abbreviated as GSD). The breed was officially known as the  Alsatian in Britain until 1977 when its name was changed back to German Shepherd. The German Shepherd is a relatively new breed of dog, with their origin dating to 1899. As part of the Herding Group, German Shepherds are working dogs developed originally for herding sheep. Since that time however, because of their strength, intelligence, trainability, and obedience, German Shepherds around the world are often the preferred breed for many types of work, including disability assistance, search-and-rescue, police and military roles, and acting. The German Shepherd is the second-most registered breed by the American Kennel Club and seventh-most registered breed by The Kennel Club in the United Kingdom."
8,blue whale,"The blue whale (Balaenoptera musculus) is a marine mammal belonging to the baleen whale parvorder, Mysticeti. At up to 29.9 metres (98 ft) in length and with a maximum recorded weight of 173 tonnes (190 short tons), it is the largest animal known to have ever existed.Long and slender, the blue whale's body can be various shades of bluish-grey dorsally and somewhat lighter underneath. There are at least three distinct subspecies: B. m. musculus of the North Atlantic and North Pacific, B. m. intermedia of the Southern Ocean and B. m. brevicauda (also known as the pygmy blue whale) found in the Indian Ocean and South Pacific Ocean. B. m. indica, found in the Indian Ocean, may be another subspecies. As with other baleen whales, its diet consists almost exclusively of small crustaceans known as krill.Blue whales were abundant in nearly all the oceans on Earth until the beginning of the twentieth century. For over a century, they were hunted almost to extinction by whalers until protected by the international community in 1966. A 2002 report estimated there were 5,000 to 12,000 blue whales worldwide, in at least five groups. The IUCN estimates that there are probably between 10,000 and 25,000 blue whales worldwide today. Before whaling, the largest population was in the Antarctic, numbering approximately 239,000 (range 202,000 to 311,000). There remain only much smaller (around 2,000) concentrations in each of the eastern North Pacific, Antarctic, and Indian Ocean groups. There are two more groups in the North Atlantic, and at least two in the Southern Hemisphere. The Eastern North Pacific blue whale population had rebounded by 2014 to nearly its pre-hunting population."
9,siamese cat,"The Siamese cat is one of the first distinctly recognized breeds of Asian cat. Derived from the Wichianmat landrace, one of several varieties of cat native to Thailand (formerly known as Siam), the Siamese became one of the most popular breeds in Europe and North America in the 19th century. The carefully refined modern Siamese is characterized by blue almond-shaped eyes; a triangular head shape; large ears; an elongated, slender, and muscular body; and point colouration. (Aside from the colouration, it bears little resemblance to the original stock, and the more moderate, traditional or ""old-style"" Siamese, with a much rounder head and body, has been re-established by multiple registries as the Thai cat.) The International Cat Association describes the modern Siamese as affectionate, social, intelligent, and playful into adulthood, often enjoying a game of fetch. Siamese tend to seek human interaction and also like companionship from other cats.
The Siamese (sometimes in the traditional form) is among the foundation stock of several other breeds developed by crossbreeding with other cats; some examples are the Oriental Shorthair and Colourpoint Shorthair, developed to expand the range of coat patterns; the long-haired variant most often dubbed the Himalayan; and hair-mutation breeds including the Cornish Rex, Sphynx, Peterbald, and the blue point Siamese cat. The Siamese cat comes in two distinct variations: traditional, with an apple-shaped head and a slightly chubby body; or the modern Siamese, which are very skinny and have a wedge-shaped head."
10,skunk,"Skunks are North and South American mammals in the family Mephitidae. Not related to polecats which are in the weasel family, the closest Old World relative to the skunk is the stink badger. The animals are known for their ability to spray a liquid with a strong, unpleasant smell. Different species of skunk vary in appearance from black-and-white to brown, cream or ginger colored, but all have warning coloration.

"
11,mole,"Moles are small mammals adapted to a subterranean lifestyle (i.e., fossorial). They have cylindrical bodies; velvety fur; very small, inconspicuous ears and eyes; reduced hindlimbs; and short, powerful forelimbs with large paws adapted for digging. The term ""mole"" is especially and most properly used for ""true moles"" of the Talpidae family in the order Eulipotyphla found in most parts of North America, Asia, and Europe; although it may also refer to other unrelated mammals of Australia and southern Africa which have similarly evolved the mole body plan. The term is not applied to all talpids; e.g. desmans and shrew-moles differ from the common definition of ""mole""."
12,tiger,"The tiger (Panthera tigris) is the largest species among the Felidae and classified in the genus Panthera. It is most recognizable for its dark vertical stripes on reddish-orange fur with a lighter underside. It is an apex predator, primarily preying on ungulates such as deer and bovids. It is territorial and generally a solitary but social predator, requiring large contiguous areas of habitat, which support its requirements for prey and rearing of its offspring. Tiger cubs stay with their mother for about two years, before they become independent and leave their mother's home range to establish their own.
The tiger once ranged widely from Eastern Anatolia Region in the west to the Amur River basin, and in the south from the foothills of the Himalayas to Bali in the Sunda islands. Since the early 20th century, tiger populations have lost at least 93% of their historic range and have been extirpated in Western and Central Asia, from the islands of Java and Bali, and in large areas of Southeast and South Asia and China. Today's tiger range is fragmented, stretching from Siberian temperate forests to subtropical and tropical forests on the Indian subcontinent and Sumatra. The tiger is listed as Endangered on the IUCN Red List since 1986. As of 2015, the global wild tiger population was estimated to number between 3,062 and 3,948 mature individuals, down from around 100,000 at the start of the 20th century, with most remaining populations occurring in small pockets isolated from each other. Major reasons for population decline include habitat destruction, habitat fragmentation and poaching. This, coupled with the fact that it lives in some of the more densely populated places on Earth, has caused significant conflicts with humans.
The tiger is among the most recognisable and popular of the world's charismatic megafauna. It featured prominently in ancient mythology and folklore and continues to be depicted in modern films and literature, appearing on many flags, coats of arms and as mascots for sporting teams. The tiger is the national animal of India, Bangladesh, Malaysia and South Korea."
13,hippopotamus,"The common hippopotamus (Hippopotamus amphibius), or hippo, is a large, mostly herbivorous, semiaquatic mammal native to sub-Saharan Africa. It is one of only two extant species in the family Hippopotamidae, the other being the pygmy hippopotamus (Choeropsis liberiensis or Hexaprotodon liberiensis).  The name comes from the ancient Greek for ""river horse"" (ἱπποπόταμος). After the elephant and rhinoceros, the common hippopotamus is the third-largest type of land mammal and the heaviest extant artiodactyl. Despite their physical resemblance to pigs and other terrestrial even-toed ungulates, the closest living relatives of the Hippopotamidae are cetaceans (whales, dolphins, porpoises, etc.) from which they diverged about 55 million years ago.
Common hippos are recognisable by their barrel-shaped torsos, wide-opening mouths revealing large canine tusks, nearly hairless bodies, columnar legs and large size; adults average 1,500 kg (3,310 lb) and 1,300 kg (2,870 lb) for males and females respectively. Despite its stocky shape and short legs, it is capable of running 30 km/h (19 mph) over short distances.
The common hippopotamus inhabits rivers, lakes and mangrove swamps, where territorial bulls preside over a stretch of river and groups of five to thirty females and young. During the day, they remain cool by staying in the water or mud; reproduction and childbirth both occur in water. They emerge at dusk to graze on grasses. While hippopotamuses rest near each other in the water, grazing is a solitary activity and hippos are not territorial on land. The hippopotamus is among the most dangerous animals in the world as it is highly aggressive and unpredictable. They are threatened by habitat loss and poaching for their meat and ivory canine teeth."
14,leopard,"The leopard (Panthera pardus) is one of the five extant species in the genus Panthera, a member of the Felidae. The leopard occurs in a wide range in sub-Saharan Africa and parts of Asia. The leopard is listed as Vulnerable on the IUCN Red List because leopard populations are threatened by habitat loss and fragmentation, and are declining in large parts of the global range. In Hong Kong, Singapore, Kuwait, Syria, Libya, Tunisia and most likely in Morocco,  leopard populations have already been extirpated.
Contemporary records suggest that the leopard occurs in only 25% of its historical global range.
Leopards are hunted illegally, and their body parts are smuggled in the wildlife trade for medicinal practices and decoration.Compared to other wild cats, the leopard has relatively short legs and a long body with a large skull. It is similar in appearance to the jaguar, but generally has a smaller, lighter physique. Its fur is marked with rosettes similar to those of the jaguar, but the leopard's rosettes are generally smaller, more densely packed and without central spots. Both leopards and jaguars that are melanistic are known as black panthers. The leopard is distinguished by its well-camouflaged fur, opportunistic hunting behaviour, broad diet, and strength (which it uses to move heavy carcasses into trees), as well as its ability to adapt to various habitats ranging from rainforest to steppe, including arid and montane areas, and its ability to run at speeds of up to 58 kilometres per hour (36 mph).Fossil parts dating to the Late Pleistocene were excavated in Europe and Japan."
15,moose,"The moose (North America) or elk (Eurasia), Alces alces is a member of the New World deer subfamily and is the largest and heaviest extant species in the Deer family. Moose are distinguished by the broad, palmate (open-hand shaped) antlers of the males; other members of the deer family have antlers with a dendritic (""twig-like"") configuration. Moose typically inhabit boreal forests and temperate broadleaf and mixed forests of the Northern Hemisphere in temperate to subarctic climates. Hunting and other human activities have caused a reduction in the size of the moose's range over time. Moose have been reintroduced to some of their former habitats. Currently, most moose are found in Canada, Alaska, New England (with Maine having the most of the lower 48 states), Fennoscandia, Baltic states, and Russia. Their diet consists of both terrestrial and aquatic vegetation. The most common moose predators are the gray wolf along with bears and humans. Unlike most other deer species, moose do not form herds and are solitary animals, aside from calves who remain with their mother until the cow begins estrus (typically at 18 months after birth of the calf), at which point the cow chases away young bulls. Although generally slow-moving and sedentary, moose can become aggressive and move quickly if angered or startled. Their mating season in the autumn features energetic fights between males competing for a female."
16,spider monkey,"Spider monkeys are New World monkeys belonging to the genus Ateles, part of the subfamily Atelinae, family Atelidae. Like other atelines, they are found in tropical forests of Central and South America, from southern Mexico to Brazil. The genus contains seven species, all of which are under threat; the black-headed spider monkey and brown spider monkey are critically endangered.
Disproportionately long limbs and long prehensile tails make them one of the largest New World monkeys and give rise to their common name. Spider monkeys live in the upper layers of the rainforest, and forage in the high canopy, from 25 to 30 m (82 to 98 ft). They primarily eat fruits, but will also occasionally consume leaves, flowers, and insects. Due to their large size, spider monkeys require large tracts of moist evergreen forests, and prefer undisturbed primary rainforest. They are social animals and live in bands of up to 35 individuals but will split up to forage during the day.Recent meta-analyses on primate cognition studies indicated spider monkeys are the most intelligent New World monkeys. They can produce a wide range of sounds and will ""bark"" when threatened; other vocalisations include a whinny similar to a horse and prolonged screams.They are an important food source due to their large size, so are widely hunted by local human populations; they are also threatened by habitat destruction due to logging and land clearing. Spider monkeys are susceptible to malaria and are used in laboratory studies of the disease. The population trend for spider monkeys is decreasing; the IUCN Red List lists one species as vulnerable, four species as endangered and two species as critically endangered."
17,humpback whale,"The humpback whale (Megaptera novaeangliae) is a species of baleen whale. One of the larger rorqual species, adults range in length from 12–16 m (39–52 ft) and weigh around 25–30 metric tons (28–33 short tons). The humpback has a distinctive body shape, with long pectoral fins and a knobbly head. It is known for breaching and other distinctive surface behaviors, making it popular with whale watchers. Males produce a complex song lasting 10 to 20 minutes, which they repeat for hours at a time. Its purpose is not clear, though it may have a role in mating.
Found in oceans and seas around the world, humpback whales typically migrate up to 25,000 km (16,000 mi) each year. They feed in polar waters, and migrate to tropical or subtropical waters to breed and give birth,  fasting and living off their fat reserves. Their diet consists mostly of krill and small fish. Humpbacks have a diverse repertoire of feeding methods, including the bubble net technique.
Like other large whales, the humpback was a target for the whaling industry. Once hunted to the brink of extinction, its population fell by an estimated 90% before a 1966 moratorium. While stocks have partially recovered to some 80,000 animals worldwide, entanglement in fishing gear, collisions with ships and noise pollution continue to impact on the species."
18,elephant,"Elephants are large mammals of the family Elephantidae in the order Proboscidea. Three species are currently recognised: the African bush elephant (Loxodonta africana), the African forest elephant (L. cyclotis), and the Asian elephant (Elephas maximus). Elephants are scattered throughout sub-Saharan Africa, South Asia, and Southeast Asia. Elephantidae is the only surviving family of the order Proboscidea; other, now extinct, members of the order include deinotheres, gomphotheres, mammoths, and mastodons.
All elephants have several distinctive features, the most notable of which is a long trunk (also called a proboscis), used for many purposes, particularly breathing, lifting water, and grasping objects. Their incisors grow into tusks, which can serve as weapons and as tools for moving objects and digging. Elephants' large ear flaps help to control their body temperature. Their pillar-like legs can carry their great weight. African elephants have larger ears and concave backs while Asian elephants have smaller ears and convex or level backs.
Elephants are herbivorous and can be found in different habitats including savannahs, forests, deserts, and marshes. They prefer to stay near water. They are considered to be a keystone species due to their impact on their environments. Other animals tend to keep their distance from elephants while predators, such as lions, tigers, hyenas, and any wild dogs, usually target only young elephants (or ""calves""). Elephants have a fission–fusion society in which multiple family groups come together to socialise. Females (""cows"") tend to live in family groups, which can consist of one female with her calves or several related females with offspring. The groups are led by an individual known as the matriarch, often the oldest cow.
Males (""bulls"") leave their family groups when they reach puberty and may live alone or with other males. Adult bulls mostly interact with family groups when looking for a mate and enter a state of increased testosterone and aggression known as musth, which helps them gain dominance and reproductive success. Calves are the centre of attention in their family groups and rely on their mothers for as long as three years. Elephants can live up to 70 years in the wild. They communicate by touch, sight, smell, and sound; elephants use infrasound, and seismic communication over long distances. Elephant intelligence has been compared with that of primates and cetaceans. They appear to have self-awareness and show empathy for dying or dead individuals of their kind.
African elephants are listed as vulnerable by the International Union for Conservation of Nature (IUCN) while the Asian elephant is classed as endangered. One of the biggest threats to elephant populations is the ivory trade, as the animals are poached for their ivory tusks. Other threats to wild elephants include habitat destruction and conflicts with local people. Elephants are used as working animals in Asia. In the past, they were used in war; today, they are often controversially put on display in zoos, or exploited for entertainment in circuses. Elephants are highly recognisable and have been featured in art, folklore, religion, literature, and popular culture."
19,gorilla,"Gorillas are ground-dwelling, predominantly herbivorous apes that inhabit the forests of central Sub-Saharan Africa. The genus Gorilla is divided into two species: the eastern gorillas and the western gorillas (both critically endangered), and either four or five subspecies. They are the largest living primates. The DNA of gorillas is highly similar to that of humans, from 95 to 99% depending on what is included, and they are the next closest living relatives to humans after the chimpanzees and bonobos.
Gorillas' natural habitats cover tropical or subtropical forests in Sub-Saharan Africa. Although their range covers a small percentage of Sub-Saharan Africa, gorillas cover a wide range of elevations. The mountain gorilla inhabits the Albertine Rift montane cloud forests of the Virunga Volcanoes, ranging in altitude from 2,200 to 4,300 metres (7,200 to 14,100 ft). Lowland gorillas live in dense forests and lowland swamps and marshes as low as sea level, with western lowland gorillas living in Central West African countries and eastern lowland gorillas living in the Democratic Republic of the Congo near its border with Rwanda."
20,ox,"An ox (plural oxen), also known as a bullock in Australia and India, is a bovine trained as a draft animal or riding animal. Oxen are commonly castrated adult male cattle; castration makes the animals more docile. Cows (adult females) or bulls (intact males) may also be used in some areas.
Oxen are used for plowing, for transport (riding, pulling carts and hauling wagons), for threshing grain by trampling, and for powering machines that grind grain or supply irrigation among other purposes. Oxen may be also used to skid logs in forests, particularly in low-impact, select-cut logging.
Draft oxen are usually yoked in pairs. Light work such as carting household items on good roads may only require one pair, while for heavier work, further pairs would be added as necessary. A team used for a heavy load over difficult ground might exceed nine or ten pairs."
21,fox,"Foxes are small-to-medium-sized, omnivorous mammals belonging to several genera of the family Canidae. Foxes have a flattened skull, upright triangular ears, a pointed, slightly upturned snout, and a long bushy tail (or brush).
Twelve species belong to the monophyletic ""true foxes"" group of genus Vulpes. Approximately another 25 current or extinct species are always or sometimes called foxes; these foxes are either part of the paraphyletic group of the South American foxes, or of the outlying group, which consists of bat-eared fox, gray fox, and island fox. Foxes live on every continent except Antarctica. By far the most common and widespread species of fox is the red fox (Vulpes vulpes) with about 47 recognized subspecies. The global distribution of foxes, together with their widespread reputation for cunning, has contributed to their prominence in popular culture and folklore in many societies around the world.  The hunting of foxes with packs of hounds, long an established pursuit in Europe, especially in the British Isles, was exported by European settlers to various parts of the New World."
22,sheep,"Domestic sheep (Ovis aries) are quadrupedal, ruminant mammals typically kept as livestock. Like most ruminants, sheep are members of the order Artiodactyla, the even-toed ungulates. Although the name sheep applies to many species in the genus Ovis, in everyday usage it almost always refers to Ovis aries. Numbering a little over one billion, domestic sheep are also the most numerous species of sheep. An adult female sheep is referred to as a ewe (), an intact male as a ram or occasionally a tup, a castrated male as a wether, and a younger sheep as a  lamb.
Sheep are most likely descended from the wild mouflon of Europe and Asia. One of the earliest animals to be domesticated for agricultural purposes, sheep are raised for fleeces, meat (lamb, hogget or mutton) and milk. A sheep's wool is the most widely used animal fiber, and is usually harvested by shearing. Ovine meat is called lamb when from younger animals and mutton when from older ones in Commonwealth countries, and lamb in the United States (including from adults).  Sheep continue to be important for wool and meat today, and are also occasionally raised for pelts, as dairy animals, or as model organisms for science.
Sheep husbandry is practised throughout the majority of the inhabited world, and has been fundamental to many civilizations. In the modern era, Australia, New Zealand, the southern and central South American nations, and the British Isles are most closely associated with sheep production.
Sheepraising has a large lexicon of unique terms which vary considerably by region and dialect. Use of the word sheep began in Middle English as a derivation of the Old English word scēap; it is both the singular and plural name for the animal. A group of sheep is called a flock, herd or mob. Many other specific terms for the various life stages of sheep exist, generally related to lambing, shearing, and age.
Being a key animal in the history of farming, sheep have a deeply entrenched place in human culture, and find representation in much modern language and symbology. As livestock, sheep are most often associated with pastoral, Arcadian imagery. Sheep figure in many mythologies—such as the Golden Fleece—and major religions, especially the Abrahamic traditions. In both ancient and modern religious ritual, sheep are used as sacrificial animals."
23,seal,"Pinnipeds, commonly known as seals, are a widely distributed and diverse clade of carnivorous, fin-footed, semiaquatic marine mammals. They comprise the extant families Odobenidae (whose only living member is the walrus), Otariidae (the eared seals: sea lions and fur seals), and Phocidae (the earless seals, or true seals). There are 33 extant species of pinnipeds, and more than 50 extinct species have been described from fossils. While seals were historically thought to have descended from two ancestral lines, molecular evidence supports them as a monophyletic lineage (descended from one ancestral line). Pinnipeds belong to the order Carnivora and their closest living relatives are believed to be bears and the superfamily of musteloids (weasels, raccoons, skunks, and red pandas), having diverged about 50 million years ago.
Seals range in size from the 1 m (3 ft 3 in) and 45 kg (99 lb) Baikal seal to the 5 m (16 ft) and 3,200 kg (7,100 lb) southern elephant seal, which is also the largest member of the order Carnivora. Several species exhibit sexual dimorphism. They have streamlined bodies and four limbs that are modified into flippers. Though not as fast in the water as dolphins, seals are more flexible and agile. Otariids use their front limbs primarily to propel themselves through the water, while phocids and walruses use their hind limbs. Otariids and walruses have hind limbs that can be pulled under the body and used as legs on land. By comparison, terrestrial locomotion by phocids is more cumbersome. Otariids have visible external ears, while phocids and walruses lack these. Pinnipeds have well-developed senses—their eyesight and hearing are adapted for both air and water, and they have an advanced tactile system in their whiskers or vibrissae. Some species are well adapted for diving to great depths. They have a layer of fat, or blubber, under the skin to keep warm in the cold water, and, other than the walrus, all species are covered in fur.
Although pinnipeds are widespread, most species prefer the colder waters of the Northern and Southern Hemispheres. They spend most of their lives in the water, but come ashore to mate, give birth, molt or escape from predators, such as sharks and killer whales. They feed largely on fish and marine invertebrates; but a few, like the leopard seal, feed on large vertebrates, such as penguins and other seals. Walruses are specialized for feeding on bottom-dwelling mollusks. Male pinnipeds typically mate with more than one female (polygyny), although the degree of polygyny varies with the species. The males of land-breeding species tend to mate with a greater number of females than those of ice breeding species. Male pinniped strategies for reproductive success vary between defending females, defending territories that attract females and performing ritual displays or lek mating. Pups are typically born in the spring and summer months and females bear almost all the responsibility for raising them. Mothers of some species fast and nurse their young for a relatively short period of time while others take foraging trips at sea between nursing bouts. Walruses are known to nurse their young while at sea. Seals produce a number of vocalizations, notably the barks of California sea lions, the gong-like calls of walruses and the complex songs of Weddell seals.
